Name,Symbol,MarketCap,price (USD),Ticker
Choice Properties REIT,CHP-UN.TO,7.71,10.6464,CHP-UN.TO
Lundin Mining,LUN.TO,7.62,8.90059,LUN.TO
TFI International,TFII,7.56,89.62,TFII.TO
IGM Financial,IGM.TO,7.46,31.4454,IGM.TO
Gildan,GIL,7.36,48.42,GIL.TO
OpenText,OTEX,7.27,27.94,OTEX.TO
Keyera,KEY.TO,7.12,31.0805,KEY.TO
Toromont,TIH.TO,6.79,83.5396,TIH.TO
Colliers International,CIGI,6.58,129.09,CIGI.TO
Canadian Tire,CTC.TO,6.31,163.845,CTC.TO
Bombardier,BBD-B.TO,6.3,64.3647,BBD-B.TO
Quebecor,QBR-B.TO,6.22,26.8806,QBR-B.TO
West Fraser Timber,WFG,6.05,75.88,WFG.TO
Capital Power,CPX.TO,5.94,38.3856,CPX.TO
Canadian Utilities,CU.TO,5.38,26.2367,CU.TO
Onex,ONEX.TO,5.34,75.7409,ONEX.TO
Aritzia,ATZ.TO,5.29,46.2273,ATZ.TO
South Bow,SOBO,5.27,25.15,SOBO.TO
Definity Financial,DFY.TO,5.24,46.0055,DFY.TO
Parkland Corp,PKI.TO,4.9,28.0755,PKI.TO
Canadian Apartment Properties REIT,CAR-UN.TO,4.85,29.8857,CAR-UN.TO
Air Canada,AC.TO,4.47,13.1434,AC.TO
Algonquin Power & Utilities,AQN,4.4,5.71,AQN.TO
Osisko Gold Royalties,OR,4.21,22.48,OR.TO
Bausch + Lomb,BLCO,4.2,11.89,BLCO.TO
Finning,FTT.TO,4.1,30.3793,FTT.TO
Triple Flag Precious Metals,TFPM,4.05,20.09,TFPM.TO
ATCO,ACO-X.TO,4,35.5952,ACO-X.TO
Strathcona Resources,SCR.TO,4,18.6598,SCR.TO
PrairieSky Royalty,PSK.TO,3.99,16.9283,PSK.TO
Kinaxis,KXS.TO,3.96,141.072,KXS.TO
B2Gold,BTG,3.93,2.96,BTG.TO
Capstone Copper,CS.TO,3.9,5.11569,CS.TO
MEG Energy,MEG.TO,3.9,15.3185,MEG.TO
RioCan REIT,REI-UN.TO,3.72,12.5066,REI-UN.TO
Veren,VRN,3.7,6.01,VRN.TO
Northland Power,NPI.TO,3.69,14.1236,NPI.TO
Eldorado Gold,EGO,3.69,17.87,EGO.TO
Iamgold,IAG,3.63,6.29,IAG.TO
Chartwell Retirement Residences,CSH-UN.TO,3.56,12.8858,CSH-UN.TO
Whitecap Resources,WCP.TO,3.55,6.03866,WCP.TO
E-L Financial,ELF.TO,3.53,1019.56,ELF.TO
Capstone Infrastructure,CSE-PA.TO,3.32,10.9111,CSE-PA.TO
Hudbay Minerals,HBM,3.31,8.33,HBM.TO
SmartCentres REIT,SRU-UN.TO,3.27,18.3664,SRU-UN.TO
NexGen Energy,NXE,3.27,5.71,NXE.TO
Boyd Group,BYD.TO,3.26,152.068,BYD.TO
D-Wave Quantum,QBTS,3.12,10.72,QBTS.TO
Orla Mining,ORLA,3.02,9.33,ORLA.TO
New Gold,NGD,3.02,3.81,NGD.TO
Granite REIT,GRP-UN,3,47.775,GRP-UN.TO
Stella-Jones,SJ.TO,2.98,53.6039,SJ.TO
OceanaGold,OGC.TO,2.88,4.10686,OGC.TO
First Majestic Silver,AG,2.83,5.83,AG.TO
Equinox Gold,EQX,2.82,6.14,EQX.TO
Xenon Pharmaceuticals,XENE,2.75,35.85,XENE.TO
Peyto Exploration &amp; Development,PEY.TO,2.74,13.7444,PEY.TO
Bombardier Recreational Products,DOOO,2.73,37.2,DOOO.TO
Topaz Energy,TPZ.TO,2.72,17.7153,TPZ.TO
Premium Brands,PBH.TO,2.71,60.6371,PBH.TO
TransAlta,TAC,2.66,8.9,TAC.TO
ATS Automation,ATS,2.65,26.97,ATS.TO
EQB (Equitable Bank),EQB.TO,2.64,68.7721,EQB.TO
Linamar,LNR.TO,2.63,43.673,LNR.TO
First Capital REIT,FCR-UN.TO,2.61,12.2777,FCR-UN.TO
China Gold International Resources,CGG.TO,2.61,6.57528,CGG.TO
CT REIT,CRT-UN.TO,2.61,10.9826,CRT-UN.TO
Gibson Energy,GEI.TO,2.59,15.8265,GEI.TO
Boardwalk Real Estate Investment Trust,BEI-UN.TO,2.55,47.9158,BEI-UN.TO
Torex Gold Resources,TXG.TO,2.52,29.256,TXG.TO
Sandstorm Gold,SAND,2.4,8.16,SAND.TO
Maple Leaf Foods,MFI.TO,2.39,19.3108,MFI.TO
Boralex,BLX.TO,2.34,22.7308,BLX.TO
Methanex,MEOH,2.33,34.48,MEOH.TO
BlackBerry,BB,2.32,3.88,BB.TO
Dundee Precious Metals,DPM.TO,2.27,13.5226,DPM.TO
Secure Energy Services,SES.TO,2.23,9.659,SES.TO
Fairfax India Holdings,FIH-U.TO,2.23,16.53,FIH-U.TO
Dream Industrial REIT,DIR-UN.TO,2.2,7.54833,DIR-UN.TO
MDA Ltd.,MDA.TO,2.19,17.8727,MDA.TO
K92 Mining,KNT.TO,2.17,9.05084,KNT.TO
SSR Mining,SSRM,2.15,10.57,SSRM.TO
Exchange Income Corporation,EIF.TO,2.05,39.9668,EIF.TO
Cogeco,CCA.TO,2.04,48.4453,CCA.TO
H&amp;R REIT,HR-UN.TO,2,7.13335,HR-UN.TO
Innergex Renewable Energy,INE.TO,1.97,9.75917,INE.TO
NuVista Energy,NVA.TO,1.91,9.5016,NVA.TO
Winpak,WPK.TO,1.91,30.9303,WPK.TO
Crombie Real Estate Investment Trust,CRR-UN.TO,1.9,10.3101,CRR-UN.TO
Spin Master,TOY.TO,1.88,18.4952,TOY.TO
MAG Silver,MAG,1.87,17.95,MAG.TO
The North West Company,NWC.TO,1.87,39.144,NWC.TO
Calibre Mining,CXB.TO,1.82,2.13214,CXB.TO
Wesdome Gold Mines,WDO.TO,1.82,12.0916,WDO.TO
Altus Group,AIF.TO,1.81,40.1886,AIF.TO
Bausch Health,BHC,1.78,4.78,BHC.TO
Athabasca Oil Corporation,ATH.TO,1.78,3.47724,ATH.TO
Paramount Resources,POU.TO,1.75,12.2419,POU.TO
Fortuna Mining,FSM,1.72,5.55,FSM.TO
goeasy,GSY.TO,1.69,104.11,GSY.TO
Russel Metals,RUS.TO,1.68,29.4778,RUS.TO
International Petroleum,IPCO.TO,1.64,14.3669,IPCO.TO
First National Financial,FN.TO,1.64,27.267,FN.TO
Hut 8 Mining,HUT,1.62,15.52,HUT.TO
Killam Apartment REIT,KMP-UN.TO,1.58,12.7141,KMP-UN.TO
Teekay Tankers,TNK,1.56,45.34,TNK.TO
Lightspeed POS,LSPD,1.54,10.49,LSPD.TO
Tamarack Valley Energy,TVE.TO,1.53,2.96209,TVE.TO
